Vasp 
Zr_Sn
Zr_Cs
Y_Sn
Y_Cs
Ti_Sn
Sr_Cs
Sr_Sn
Sb_Sn
Mo_Cs
In_Sn
In_Cs
Ga_Sn
Ga_Cs
Cu_Cs
Cd_Cs
Ca_Cs
Bi_Sn
Ba_Cs
As_Sn
Al_Sn
Al_Sn
Al_Cs
